Date,Month,Year,waterLevel,waterYear,cumulativeWater
7/1978,7,1978,0.29,1978,68.14
8/1978,8,1978,0.08,1978,68.22
9/1978,9,1978,3.34,1978,71.56
10/1978,10,1978,0.02,1979,0.02
11/1978,11,1978,3.12,1979,3.14
12/1978,12,1978,2.17,1979,5.31
1/1979,1,1979,8.9,1979,14.21
2/1979,2,1979,11.37,1979,25.58
3/1979,3,1979,5.85,1979,31.43
4/1979,4,1979,3.61,1979,35.04
5/1979,5,1979,2.49,1979,37.53
6/1979,6,1979,0.13,1979,37.66
7/1979,7,1979,0.22,1979,37.88
8/1979,8,1979,0.99,1979,38.87
9/1979,9,1979,0.22,1979,39.09
10/1979,10,1979,6.77,1980,6.77
11/1979,11,1979,5.31,1980,12.08
12/1979,12,1979,8.13,1980,20.21
1/1980,1,1980,12.8,1980,33.01
2/1980,2,1980,14.91,1980,47.92
3/1980,3,1980,3.88,1980,51.8
4/1980,4,1980,3.36,1980,55.16
5/1980,5,1980,2.17,1980,57.33
6/1980,6,1980,1.19,1980,58.52
7/1980,7,1980,0.51,1980,59.03
8/1980,8,1980,0.07,1980,59.1
9/1980,9,1980,0.46,1980,59.56
10/1980,10,1980,1.39,1981,1.39
11/1980,11,1980,1.71,1981,3.1
12/1980,12,1980,6.98,1981,10.08
1/1981,1,1981,10.4,1981,20.48
2/1981,2,1981,4.39,1981,24.87
3/1981,3,1981,7.06,1981,31.93
4/1981,4,1981,1.75,1981,33.68
5/1981,5,1981,2.52,1981,36.2
6/1981,6,1981,0.08,1981,36.28
7/1981,7,1981,0.02,1981,36.3
8/1981,8,1981,0,1981,36.3
9/1981,9,1981,1.33,1981,37.63
10/1981,10,1981,7.06,1982,7.06
11/1981,11,1981,19.99,1982,27.05
12/1981,12,1981,14.39,1982,41.44
1/1982,1,1982,7.93,1982,49.37
2/1982,2,1982,8.02,1982,57.39
3/1982,3,1982,11.61,1982,69
4/1982,4,1982,10.13,1982,79.13
5/1982,5,1982,0.38,1982,79.51
6/1982,6,1982,1.66,1982,81.17
7/1982,7,1982,0.5,1982,81.67
8/1982,8,1982,0.23,1982,81.9
9/1982,9,1982,2.92,1982,84.82
10/1982,10,1982,7.9,1983,7.9
11/1982,11,1982,9.82,1983,17.72
12/1982,12,1982,11.28,1983,29
1/1983,1,1983,12.07,1983,41.07
2/1983,2,1983,16.1,1983,57.17
3/1983,3,1983,20.1,1983,77.27
4/1983,4,1983,6.4,1983,83.67
5/1983,5,1983,1.62,1983,85.29
6/1983,6,1983,0.67,1983,85.96
7/1983,7,1983,0.23,1983,86.19
8/1983,8,1983,0.79,1983,86.98
9/1983,9,1983,1.51,1983,88.49
10/1983,10,1983,3.08,1984,3.08
11/1983,11,1983,18.7,1984,21.78
12/1983,12,1983,18.2,1984,39.98
1/1984,1,1984,0.59,1984,40.57
2/1984,2,1984,6.29,1984,46.86
3/1984,3,1984,4.7,1984,51.56
4/1984,4,1984,2.97,1984,54.53
5/1984,5,1984,0.95,1984,55.48
6/1984,6,1984,1.24,1984,56.72
7/1984,7,1984,0.4,1984,57.12
8/1984,8,1984,0.68,1984,57.8
9/1984,9,1984,0.27,1984,58.07
10/1984,10,1984,4.23,1985,4.23
11/1984,11,1984,13.94,1985,18.17
12/1984,12,1984,1.9,1985,20.07
1/1985,1,1985,1.3,1985,21.37
2/1985,2,1985,5.06,1985,26.43
3/1985,3,1985,6.76,1985,33.19
4/1985,4,1985,0.52,1985,33.71
5/1985,5,1985,0.25,1985,33.96
6/1985,6,1985,0.29,1985,34.25
7/1985,7,1985,0.48,1985,34.73
8/1985,8,1985,0.19,1985,34.92
9/1985,9,1985,2.9,1985,37.82
10/1985,10,1985,2.38,1986,2.38
11/1985,11,1985,6.65,1986,9.03
12/1985,12,1985,5.25,1986,14.28
1/1986,1,1986,10.77,1986,25.05
2/1986,2,1986,27.14,1986,52.19
3/1986,3,1986,10.58,1986,62.77
4/1986,4,1986,1.64,1986,64.41
5/1986,5,1986,2.7,1986,67.11
6/1986,6,1986,0.07,1986,67.18
7/1986,7,1986,0.15,1986,67.33
8/1986,8,1986,0.02,1986,67.35
9/1986,9,1986,4.72,1986,72.07
10/1986,10,1986,1.15,1987,1.15
11/1986,11,1986,0.76,1987,1.91
12/1986,12,1986,2.07,1987,3.98
1/1987,1,1987,6.07,1987,10.05
2/1987,2,1987,7.17,1987,17.22
3/1987,3,1987,8.97,1987,26.19
4/1987,4,1987,0.74,1987,26.93
5/1987,5,1987,1.06,1987,27.99
6/1987,6,1987,0.17,1987,28.16
7/1987,7,1987,0.38,1987,28.54
8/1987,8,1987,0.01,1987,28.55
9/1987,9,1987,0.01,1987,28.56
10/1987,10,1987,0.99,1988,0.99
11/1987,11,1987,3.32,1988,4.31
12/1987,12,1987,12.72,1988,17.03
1/1988,1,1988,7.61,1988,24.64
2/1988,2,1988,0.46,1988,25.1
3/1988,3,1988,1.32,1988,26.42
4/1988,4,1988,4.27,1988,30.69
5/1988,5,1988,2.65,1988,33.34
6/1988,6,1988,1.11,1988,34.45
7/1988,7,1988,0.29,1988,34.74
8/1988,8,1988,0,1988,34.74
9/1988,9,1988,0.12,1988,34.86
10/1988,10,1988,0.17,1989,0.17
11/1988,11,1988,13.21,1989,13.38
12/1988,12,1988,4.62,1989,18
1/1989,1,1989,2.81,1989,20.81
2/1989,2,1989,3.02,1989,23.83
3/1989,3,1989,17.27,1989,41.1
4/1989,4,1989,2.4,1989,43.5
5/1989,5,1989,1.26,1989,44.76
6/1989,6,1989,1.08,1989,45.84
7/1989,7,1989,0.01,1989,45.85
8/1989,8,1989,0.59,1989,46.44
9/1989,9,1989,3.69,1989,50.13
10/1989,10,1989,6.29,1990,6.29
11/1989,11,1989,3.08,1990,9.37
12/1989,12,1989,0.07,1990,9.44
1/1990,1,1990,7.88,1990,17.32
2/1990,2,1990,4.6,1990,21.92
3/1990,3,1990,3.19,1990,25.11
4/1990,4,1990,1.83,1990,26.94
5/1990,5,1990,7.55,1990,34.49
6/1990,6,1990,0.29,1990,34.78
7/1990,7,1990,0.12,1990,34.9
8/1990,8,1990,0.54,1990,35.44
9/1990,9,1990,0.53,1990,35.97
10/1990,10,1990,1.1,1991,1.1
11/1990,11,1990,1.56,1991,2.66
12/1990,12,1990,1.39,1991,4.05
1/1991,1,1991,0.88,1991,4.93
2/1991,2,1991,3.11,1991,8.04
3/1991,3,1991,17.94,1991,25.98
4/1991,4,1991,1.81,1991,27.79
5/1991,5,1991,2.51,1991,30.3
6/1991,6,1991,1.2,1991,31.5
7/1991,7,1991,0.4,1991,31.9
8/1991,8,1991,0.22,1991,32.12
9/1991,9,1991,0.05,1991,32.17
10/1991,10,1991,3.44,1992,3.44
11/1991,11,1991,2.64,1992,6.08
12/1991,12,1991,3.97,1992,10.05
1/1992,1,1992,2.81,1992,12.86
2/1992,2,1992,11.84,1992,24.7
3/1992,3,1992,5.35,1992,30.05
4/1992,4,1992,2.67,1992,32.72
5/1992,5,1992,0.12,1992,32.84
6/1992,6,1992,2.73,1992,35.57
7/1992,7,1992,0.2,1992,35.77
8/1992,8,1992,0.16,1992,35.93
9/1992,9,1992,0.08,1992,36.01
10/1992,10,1992,4.77,1993,4.77
11/1992,11,1992,1.15,1993,5.92
12/1992,12,1992,14.41,1993,20.33
1/1993,1,1993,16.53,1993,36.86
2/1993,2,1993,10.26,1993,47.12
3/1993,3,1993,7.57,1993,54.69
4/1993,4,1993,3.66,1993,58.35
5/1993,5,1993,4.27,1993,62.62
6/1993,6,1993,2.31,1993,64.93
7/1993,7,1993,0,1993,64.93
8/1993,8,1993,0.38,1993,65.31
9/1993,9,1993,0.01,1993,65.32
10/1993,10,1993,2.65,1994,2.65
11/1993,11,1993,2.81,1994,5.46
12/1993,12,1993,7.34,1994,12.8
1/1994,1,1994,4.1,1994,16.9
2/1994,2,1994,7.62,1994,24.52
3/1994,3,1994,1.53,1994,26.05
4/1994,4,1994,2.87,1994,28.92
5/1994,5,1994,1.96,1994,30.88
6/1994,6,1994,0.32,1994,31.2
7/1994,7,1994,0.01,1994,31.21
8/1994,8,1994,0,1994,31.21
9/1994,9,1994,0.62,1994,31.83
10/1994,10,1994,0.77,1995,0.77
11/1994,11,1994,8.62,1995,9.39
12/1994,12,1994,7.57,1995,16.96
1/1995,1,1995,27.14,1995,44.1
2/1995,2,1995,1.94,1995,46.04
3/1995,3,1995,22.85,1995,68.89
4/1995,4,1995,8.53,1995,77.42
5/1995,5,1995,4.62,1995,82.04
6/1995,6,1995,3.05,1995,85.09
7/1995,7,1995,0.3,1995,85.39
8/1995,8,1995,0,1995,85.39
9/1995,9,1995,0,1995,85.39
10/1995,10,1995,0.01,1996,0.01
11/1995,11,1995,0.57,1996,0.58
12/1995,12,1995,13.9,1996,14.48
1/1996,1,1996,12.44,1996,26.92
2/1996,2,1996,14.07,1996,40.99
3/1996,3,1996,5.88,1996,46.87
4/1996,4,1996,5.86,1996,52.73
5/1996,5,1996,6.97,1996,59.7
6/1996,6,1996,0.48,1996,60.18
7/1996,7,1996,0.14,1996,60.32
8/1996,8,1996,0.01,1996,60.33
9/1996,9,1996,0.98,1996,61.31
10/1996,10,1996,2.53,1997,2.53
11/1996,11,1996,7.85,1997,10.38
12/1996,12,1996,28.89,1997,39.27
1/1997,1,1997,18.95,1997,58.22
2/1997,2,1997,0.97,1997,59.19
3/1997,3,1997,2.25,1997,61.44
4/1997,4,1997,2.38,1997,63.82
5/1997,5,1997,0.75,1997,64.57
6/1997,6,1997,2.37,1997,66.94
7/1997,7,1997,0.19,1997,67.13
8/1997,8,1997,0.71,1997,67.84
9/1997,9,1997,0.92,1997,68.76
10/1997,10,1997,3.25,1998,3.25
11/1997,11,1997,9.45,1998,12.7
12/1997,12,1997,4.79,1998,17.49
1/1998,1,1998,18.82,1998,36.31
2/1998,2,1998,21.22,1998,57.53
3/1998,3,1998,8.63,1998,66.16
4/1998,4,1998,5.4,1998,71.56
5/1998,5,1998,7.47,1998,79.03
6/1998,6,1998,2.02,1998,81.05
7/1998,7,1998,0.02,1998,81.07
8/1998,8,1998,0.03,1998,81.1
9/1998,9,1998,1.3,1998,82.4
10/1998,10,1998,1.51,1999,1.51
11/1998,11,1998,12.69,1999,14.2
12/1998,12,1998,4.69,1999,18.89
1/1999,1,1999,10.03,1999,28.92
2/1999,2,1999,15.15,1999,44.07
3/1999,3,1999,5.45,1999,49.52
4/1999,4,1999,3.24,1999,52.76
5/1999,5,1999,0.93,1999,53.69
6/1999,6,1999,0.54,1999,54.23
7/1999,7,1999,0.1,1999,54.33
8/1999,8,1999,0.34,1999,54.67
9/1999,9,1999,0.08,1999,54.75
10/1999,10,1999,2.72,2000,2.72
11/1999,11,1999,6.78,2000,9.5
12/1999,12,1999,1.53,2000,11.03
1/2000,1,2000,14.31,2000,25.34
2/2000,2,2000,19.08,2000,44.42
3/2000,3,2000,3.66,2000,48.08
4/2000,4,2000,3.66,2000,51.74
5/2000,5,2000,2.54,2000,54.28
6/2000,6,2000,0.82,2000,55.1
7/2000,7,2000,0.21,2000,55.31
8/2000,8,2000,0.07,2000,55.38
9/2000,9,2000,1.32,2000,56.7
10/2000,10,2000,4.71,2001,4.71
11/2000,11,2000,1.86,2001,6.57
12/2000,12,2000,2.62,2001,9.19
1/2001,1,2001,5.05,2001,14.24
2/2001,2,2001,9.45,2001,23.69
3/2001,3,2001,3.76,2001,27.45
4/2001,4,2001,3.71,2001,31.16
5/2001,5,2001,0.11,2001,31.27
6/2001,6,2001,0.87,2001,32.14
7/2001,7,2001,0.03,2001,32.17
8/2001,8,2001,0,2001,32.17
9/2001,9,2001,0.8,2001,32.97
10/2001,10,2001,1.82,2002,1.82
11/2001,11,2001,10.93,2002,12.75
12/2001,12,2001,14.31,2002,27.06
1/2002,1,2002,5.41,2002,32.47
2/2002,2,2002,3.99,2002,36.46
3/2002,3,2002,5.76,2002,42.22
4/2002,4,2002,2.08,2002,44.3
5/2002,5,2002,1.72,2002,46.02
6/2002,6,2002,0.17,2002,46.19
7/2002,7,2002,0.02,2002,46.21
8/2002,8,2002,0.03,2002,46.24
9/2002,9,2002,0.1,2002,46.34
10/2002,10,2002,0.01,2003,0.01
11/2002,11,2002,6.95,2003,6.96
12/2002,12,2002,23.84,2003,30.8
1/2003,1,2003,5.21,2003,36.01
2/2003,2,2003,3.02,2003,39.03
3/2003,3,2003,6.27,2003,45.3
4/2003,4,2003,10.52,2003,55.82
5/2003,5,2003,2.17,2003,57.99
6/2003,6,2003,0.12,2003,58.11
7/2003,7,2003,0.16,2003,58.27
8/2003,8,2003,1.25,2003,59.52
9/2003,9,2003,0.25,2003,59.77
10/2003,10,2003,0.14,2004,0.14
11/2003,11,2003,5.37,2004,5.51
12/2003,12,2003,15.85,2004,21.36
1/2004,1,2004,5.69,2004,27.05
2/2004,2,2004,14.48,2004,41.53
3/2004,3,2004,2.23,2004,43.76
4/2004,4,2004,1.67,2004,45.43
5/2004,5,2004,1.15,2004,46.58
6/2004,6,2004,0.23,2004,46.81
7/2004,7,2004,0.04,2004,46.85
8/2004,8,2004,0.05,2004,46.9
9/2004,9,2004,0.39,2004,47.29
10/2004,10,2004,6.95,2005,6.95
11/2004,11,2004,2.65,2005,9.6
12/2004,12,2004,10.94,2005,20.54
1/2005,1,2005,8.33,2005,28.87
2/2005,2,2005,4.44,2005,33.31
3/2005,3,2005,9.25,2005,42.56
4/2005,4,2005,3.53,2005,46.09
5/2005,5,2005,8.29,2005,54.38
6/2005,6,2005,2.64,2005,57.02
7/2005,7,2005,0,2005,57.02
8/2005,8,2005,0.01,2005,57.03
9/2005,9,2005,0.48,2005,57.51
10/2005,10,2005,1.47,2006,1.47
11/2005,11,2005,6.53,2006,8
12/2005,12,2005,25.82,2006,33.82
1/2006,1,2006,9.8,2006,43.62
2/2006,2,2006,8,2006,51.62
3/2006,3,2006,14.5,2006,66.12
4/2006,4,2006,12.14,2006,78.26
5/2006,5,2006,1.53,2006,79.79
6/2006,6,2006,0.35,2006,80.14
7/2006,7,2006,0.01,2006,80.15
8/2006,8,2006,0,2006,80.15
9/2006,9,2006,0,2006,80.15
10/2006,10,2006,0.51,2007,0.51
11/2006,11,2006,5.65,2007,6.16
12/2006,12,2006,8.49,2007,14.65
1/2007,1,2007,1.44,2007,16.09
2/2007,2,2007,13.6,2007,29.69
3/2007,3,2007,1.65,2007,31.34
4/2007,4,2007,3.09,2007,34.43
5/2007,5,2007,1.16,2007,35.59
6/2007,6,2007,0.37,2007,35.96
7/2007,7,2007,0.5,2007,36.46
8/2007,8,2007,0.01,2007,36.47
9/2007,9,2007,0.74,2007,37.21
10/2007,10,2007,3.62,2008,3.62
11/2007,11,2007,1.18,2008,4.8
12/2007,12,2007,7.18,2008,11.98
1/2008,1,2008,12.6,2008,24.58
2/2008,2,2008,6.89,2008,31.47
3/2008,3,2008,1.58,2008,33.05
4/2008,4,2008,0.68,2008,33.73
5/2008,5,2008,1.13,2008,34.86
6/2008,6,2008,0.02,2008,34.88
7/2008,7,2008,0,2008,34.88
8/2008,8,2008,0.1,2008,34.98
9/2008,9,2008,0.01,2008,34.99
10/2008,10,2008,3.11,2009,3.11
11/2008,11,2008,5.5,2009,8.61
12/2008,12,2008,6.1,2009,14.71
1/2009,1,2009,3.1,2009,17.81
2/2009,2,2009,11.9,2009,29.71
3/2009,3,2009,8.3,2009,38.01
4/2009,4,2009,1.7,2009,39.71
5/2009,5,2009,5.5,2009,45.21
6/2009,6,2009,1.3,2009,46.51
7/2009,7,2009,0.03,2009,46.54
8/2009,8,2009,0.17,2009,46.71
9/2009,9,2009,0.14,2009,46.85
10/2009,10,2009,4.7,2010,4.7
11/2009,11,2009,2.1,2010,6.8
12/2009,12,2009,6.8,2010,13.6
1/2010,1,2010,13.6,2010,27.2
2/2010,2,2010,7.1,2010,34.3
3/2010,3,2010,6.25,2010,40.55
4/2010,4,2010,8.14,2010,48.69
5/2010,5,2010,4.07,2010,52.76
6/2010,6,2010,0.39,2010,53.15
7/2010,7,2010,0.08,2010,53.23
8/2010,8,2010,0.08,2010,53.31
9/2010,9,2010,0.28,2010,53.59
10/2010,10,2010,7.5,2011,7.5
11/2010,11,2010,8,2011,15.5
12/2010,12,2010,16.44,2011,31.94
1/2011,1,2011,2.08,2011,34.02
2/2011,2,2011,8.49,2011,42.51
3/2011,3,2011,18.71,2011,61.22
4/2011,4,2011,3.15,2011,64.37
5/2011,5,2011,4.6,2011,68.97
6/2011,6,2011,3.18,2011,72.15
7/2011,7,2011,0.08,2011,72.23
8/2011,8,2011,0,2011,72.23
9/2011,9,2011,0.47,2011,72.7
10/2011,10,2011,3.88,2012,3.88
11/2011,11,2011,2.71,2012,6.59
12/2011,12,2011,0.34,2012,6.93
1/2012,1,2012,7.62,2012,14.55
2/2012,2,2012,2.97,2012,17.52
3/2012,3,2012,15.7,2012,33.22
4/2012,4,2012,6.45,2012,39.67
5/2012,5,2012,0.51,2012,40.18
6/2012,6,2012,1.16,2012,41.34
7/2012,7,2012,0.2,2012,41.54
8/2012,8,2012,0.04,2012,41.58
9/2012,9,2012,0.03,2012,41.61
10/2012,10,2012,2.54,2013,2.54
11/2012,11,2012,11.14,2013,13.68
12/2012,12,2012,18.3,2013,31.98
1/2013,1,2013,1.35,2013,33.33
2/2013,2,2013,0.77,2013,34.1
3/2013,3,2013,3.67,2013,37.77
4/2013,4,2013,2,2013,39.77
5/2013,5,2013,1.25,2013,41.02
6/2013,6,2013,1.71,2013,42.73
7/2013,7,2013,0.01,2013,42.74
8/2013,8,2013,0.04,2013,42.78
9/2013,9,2013,1.48,2013,44.26
10/2014,10,2014,0.72,2014,0.72
11/2013,11,2013,1.66,2014,2.38
12/2013,12,2013,0.92,2014,3.3
1/2014,1,2014,1.2,2014,4.5
2/2014,2,2014,10.7,2014,15.2
3/2014,3,2014,10.21,2014,25.41
4/2014,4,2014,2.64,2014,28.05
5/2014,5,2014,0.75,2014,28.8
6/2014,6,2014,0.05,2014,28.85
7/2014,7,2014,0.22,2014,29.07
8/2014,8,2014,0.64,2014,29.71
9/2014,9,2014,1.63,2014,31.34
10/2014,10,2014,3.7,2015,3.7
11/2014,11,2014,3.9,2015,7.6
12/2014,12,2014,15.2,2015,22.8
1/2015,1,2015,0.3,2015,23.1
2/2015,2,2015,7.6,2015,30.7
3/2015,3,2015,1,2015,31.7
4/2015,4,2015,2.3,2015,34
5/2015,5,2015,1.2,2015,35.2
6/2015,6,2015,0.8,2015,36
7/2015,7,2015,0.7,2015,36.7
8/2015,8,2015,0.1,2015,36.8
9/2015,9,2015,0.4,2015,37.2
10/2015,10,2015,1.2,2016,1.2
11/2015,11,2015,3.7,2016,4.9
12/2015,12,2015,11.8,2016,16.7
1/2016,1,2016,16.1,2016,32.8
2/2016,2,2016,2.7,2016,35.5
3/2016,3,2016,16.4,2016,51.9
4/2016,4,2016,2.8,2016,54.7
5/2016,5,2016,2.2,2016,56.9
6/2016,6,2016,0.9,2016,57.8
7/2016,7,2016,0,2016,57.8
8/2016,8,2016,0,2016,57.8
9/2016,9,2016,0,2016,57.8
10/2016,10,2016,12.6,2017,12.6
11/2016,11,2016,5.4,2017,18
12/2016,12,2016,11.6,2017,29.6
1/2017,1,2017,12.3,2017,41.9
